TITLE,CODE
Abacus,AC00
Accounting & Finance,AC00
Accounting Perspectives,AC10
Australian Accounting Review,AC00
Contemporary Accounting Research,AC10
Fiscal Studies,EC60
International Journal of Auditing,AC35
Journal of Accounting Research,AC10
Journal of Business Finance & Accounting,AC30
Journal of International Financial Management & Accounting,FI04
Public Budgeting and Finance,FI00
Aquaculture Nutrition,AQ00
Aquaculture Research,AQ00
Aquatic Conservation: Marine and Freshwater Ecosystems,LS28
Fish and Fisheries,AQ00
Fisheries,AQ00
Fisheries Management & Ecology,AQ00
Fisheries Oceanography,AQ00
Fisheries Science,AQ10
Journal of Applied Ichthyology,AQ00
Journal of Aquatic Animal Health,AQ00
Journal of Fish Biology,AQ00
Journal of Fish Diseases,AQ00
Journal of the World Aquaculture Society,AQ10
Marine and Coastal Fisheries,AQ00
North American Journal of Aquaculture,AQ00
North American Journal of Fisheries Management,AQ00
Reviews in Aquaculture,AQ00
Transactions of the American Fisheries Society,AQ00
Agricultural & Environmental Letters,AG00
Agronomy Journal,AG30
"Agrosystems, Geosciences & Environment",AG00
Crop Science,LS68
"Crop, Forage & Turfgrass Management",AG30
Crops & Soils,AG30
Grass & Forage Science,AG00
Grassland Science,AGA0
International Turfgrass Society Research Journal,AG30
Journal of Agronomy and Crop Science,AG00
Journal of Environmental Quality,EN10
Journal of Plant Registrations,LS68
Natural Sciences Education,EDZ0
Soil Science & Plant Nutrition,ES18
Soil Science Society of America Journal,AG31
The Plant Genome,LS68
The Plant Phenome Journal,LS90
Urban Agriculture & Regional Food Systems,FO20
Vadose Zone Journal,AGZ0
Weed Biology and Management,AG50
Weed Research,AG50
Allergy,MD20
American Journal of Reproductive Immunology,MD20
Apmis,MD17
Clinical & Experimental Allergy,MD20
Clinical & Experimental Allergy Reviews,MD20
Clinical & Experimental Immunology,MD17
European Journal of Immunology,MD17
Immunological Reviews,MD20
Immunology,MD17
ImmunoMedicine,MD22
International Forum of Allergy & Rhinology,MD20
International Journal of Immunogenetics,MD17
Journal of Cutaneous Immunology and Allergy,MD00
Parasite Immunology,MD17
Pediatric Allergy and Immunology,MD20
Scandinavian Journal of Immunology,MD17
Tissue Antigens,MD52
Acta Anaesthesiologica Scandinavica,MD30
Anaesthesia,MD30
European Journal of Pain,MD32
European Journal of Pain Supplements,MD32
Pain Medicine,MD32
Pain Practice,MD32
Acta Physiologica,MD1C
"Anatomia, Histologia, Embryologia",LS10
Anatomical Sciences Education,LS10
Clinical Anatomy,LS10
Experimental Physiology,LS10
JBMR Plus,LS10
JOR Spine,LS10
Journal of Anatomy,LS10
Journal of Bone and Mineral Research,LS10
Journal of Diabetes Investigation,MD81
Journal of Morphology,LS00
Journal of Orthopaedic Research,MDU8
Physiological Reports,LS10
The Anatomical Record: Advances in Integrative Anatomy and Evolutionary Biology,LS10
The Journal of Physiology,LS10
American Anthropologist,AN00
American Ethnologist,AN05
American Journal of Physical Anthropology,AN30
Annals of Anthropological Practice,AN55
Anthropology & Education Quarterly,AN40
Anthropology & Humanism,ANZ0
Anthropology News,AN00
Anthropology of Consciousness,AN44
Anthropology of Work Review,AN20
Anthropology Today,AN00
Archaeology in Oceania,AN00
Cultural Anthropology,AN40
"Culture, Agriculture, Food and Environment",ANZ0
Economic Anthropology,AN00
Ethnographic Praxis in Industry Conference,AN00
Ethos,AN40
General Anthropology Bulletin of the General Anthropology Division,AN00
Journal for the Anthropology of North America,AN55
Journal of Latin American & Caribbean Anthropology,AN00
Journal of Linguistic Anthropology,AN60
Journal of the Society For the Anthropology of Europe,AN53
Medical Anthropology Quarterly,AN45
Museum Anthropology,AN41
North American Dialogue,AN55
Oceania,AN00
Polar: Political and Legal Anthropology Review,AN20
Social Anthropology,AN00
The Australian Journal of Anthropology,AN00
The Journal of the Royal Anthropological Institute,AN00
Transforming Anthropology,AN43
Visual Anthropology Review,AN41
Acta Archaeologica,AH31
Arabian Archaeology and Epigraphy,AH35
Archaeometry,AH10
Archeological Papers of the American Anthropological Association,AH10
Geoarchaeology: An International Journal,ES18
International Journal of Nautical Archaeology,HI00
Oxford Journal of Archaeology,AH00
Architectural Design,AR20
Bauphysik,CE00
Bautechnik,CE00
Beton- Und Stahlbetonbau,CE00
DIBt Mitteilungen,CE00
Indoor Air,HE50
Japan Architectural Review,AR00
Journal of Architectural Education,AR00
Journal of Interior Design,AR40
Mauerwerk,CE00
Stahlbau,CE00
The Structural Design of Tall and Special  Buildings,CE06
Astronomische Nachrichten,PH10
Astronomy & Geophysics,PH10
Monthly Notices of the Royal Astronomical Society,PH10
Monthly Notices of the Royal Astronomical Society:  Letters (Electronic),PH10
Clinical & Translational Immunology,MD17
Current Protocols in Immunology,MD17
"Immunity, Inflammation and Disease",MD17
Immunology and Cell Biology,MD17
Journal of Leukocyte Biology,MD17
Bioengineering & Translational Medicine,CHB0
Current Protocols in Chemical Biology,CHB0
Molecular Oncology,LS36
Learning Health Systems,BE30
Asia Pacific Journal of Human Resources,BA00
Australian Journal of Public Administration,PO00
Board & Administrator For Administrators Only,BA93
Board Leadership: Policy Governance in Action,BA14
British Journal of Industrial Relations,BA51
British Journal of Management,BA10
Bruce R Hopkins' Nonprofit Counsel,BA91
Business and Society Review,BA70
Business Ethics: A European Review,BA71
Business Strategy Review,BA00
Canadian Journal of Administrative Sciences,BA10
Canadian Public Administration/Administration Publique Du Canada,PO71
Citplus,BA00
Conflict Resolution Quarterly,LA55
Consumer Psychology Review,BAZ0
Corporate Governance,BA17
Corporate Philanthropy Report,BAZ0
Creativity and Innovation Management,BA18
Decision Sciences,BA23
Decision Sciences Journal of Innovative Education,BA23
Employment Relations Today,BA02
Entrepreneurship Theory and Practice,BA70
European Management Review,BA10
Federal Grants & Contracts,BA91
Futures & Foresight Science,BA23
Global Business and Organizational Excellence,BA13
Global Strategy Journal,BA12
Human Resource Development Quarterly,BA61
Human Resource Management,BA50
Human Resource Management Journal,BA50
Industrial Relations,BA51
Industrial Relations Journal,BA51
"Intelligent Systems in Accounting, Finance &  Management: International Journal",BA11
International Insolvency Review,BA00
International Journal of Consumer Studies,BA80
International Journal of Management Reviews,BA13
International Journal of Nonprofit & Voluntary Sector Marketing,BA96
International Journal of Selection and Assessment,BA50
International Journal of Tourism Research,BA00
International Journal of Training and Development,BA60
International Labour Review,ECB0
International Review of Industrial &  Organizational Psychology,BA00
International Transactions in Operational Research,BA11
Journal of Behavioral Decision Making,BA23
Journal of Business Logistics,BA10
Journal of Consumer Affairs,BA81
Journal of Consumer Behaviour,BA86
Journal of Consumer Psychology,BAZ0
Journal of Corporate Accounting & Finance,AC30
Journal of Economics & Management Strategy,EC90
Journal of Forecasting,EC00
Journal of Labor and Society,BA51
Journal of Leadership Studies,BA20
Journal of Management Studies,BA10
Journal of Multi Criteria Decision Analysis,BA23
Journal of Organizational Behavior,BA21
Journal of Policy Analysis and Management,PO71
Journal of Psychological Issues in Organizational Culture,PS70
Journal of Public Affairs,BA00
Journal of Small Business Management,BA12
Journal of Supply Chain Management,BA30
Knowledge and Process Management: the Journal of Corporate Transformation,BA22
Labour,EC00
Leader To Leader,BA93
Linnean Society Newsletter,LS40
Management and Organization Review,BA13
National Civic Review,PO70
Negotiation and Conflict Management Research,LA55
New Horizons in Adult Education and Human Resource  Development,BA60
"New Technology, Work and Employment",BA03
Nonprofit Business Advisor,BA91
Nonprofit Communications Report,BA96
Nonprofit Management & Leadership,BA14
Performance Improvement,BA00
Performance Improvement Quarterly,BA66
Production and Operations Management,BA30
Project Management Journal,BA31
Psychology & Marketing,BA81
Public Administration,PO00
Public Administration Review,PO71
Quality Assurance Journal,BA00
R & D Management,BA00
Research World,BA80
Revista Internacional Del Trabajo,ECB0
Revue Internationale Du Travail,ECB0
Special Events Galore,BA90
Strategic Change,FI10
Strategic Entrepreneurship Journal,BAC0
Strategic Management Journal,BA12
Successful Fundraising,BA94
System Dynamics Review (The Journal of the System  Dynamics Society),BA10
Systems Research & Behavioral Science,BA10
The Journal of Product Innovation Management,BA18
The Major Gifts Report,BA60
The Membership Management Report,BA94
The Volunteer Management Report,BA93
Thunderbird International Business Review,BA13
Workingusa,BA51
American Heart Hospital Journal,MD40
American Journal of Geriatric Cardiology,MD40
Annals of Noninvasive Electrocardiology,MD40
Cardiovascular Therapeutics,MD40
Catheterization and Cardiovascular Interventions,MD40
Clinical Cardiology,MD40
Congenital Heart Disease,MD40
Congestive Heart Failure,MD40
Continuing Cardiology Education,MD40
Echocardiography,MD40
ESC Heart Failure,MD44
European Journal of Heart Failure,MD44
Journal of Arrhythmia,MD40
Journal of Cardiovascular Electrophysiology,MD40
Journal of Clinical Hypertension,MD40
Journal of Interventional Cardiology,MD40
Journal of the American Heart Association Cardiovascular and Cerebrovascular Disease,MD40
Pacing and Clinical Electrophysiology,MD40
Preventive Cardiology,MD40
Aging Cell,LS32
Bioessays,LS30
Biology of the Cell,LS30
Cell Biochemistry and Function,LS32
Cell Biology International,LS30
Cell Biology International Reports,LS30
Cell Proliferation,LS32
Chemical Biology & Drug Design,LS36
Current Protocols in Cell Biology,LS30
Current Protocols in Cytometry,LS30
Current Protocols in Essential Laboratory Techniques,LS35
Current Protocols in Molecular Biology,LS30
Current Protocols in Molecular Biology,LS30
Current Protocols in Mouse Biology,LS30
Current Protocols in Nucleic Acid Chemistry,LS30
Current Protocols in Protein Science,LS30
Current Protocols in Stem Cell Biology,LS30
Cytometry,LS30
Cytometry Part B: Clinical Cytometry,LS30
